city,Operateur,2G,3G,4G
Saint-Thurien,20801,1,0,0
Riec-sur-Bélon,20815,0,1,1
Plougonven,20801,1,1,0
Moëlan-sur-Mer,20820,1,1,1
Moëlan-sur-Mer,20810,1,1,1
Moëlan-sur-Mer,20801,1,1,1
Plougonven,20820,1,1,0
Plougonven,20820,1,1,1
Lanmeur,20820,1,1,1
Lanmeur,20810,1,1,1
Lanmeur,20801,1,1,0
Cléden-Poher,20801,1,1,0
Lanmeur,20815,0,1,1
Guiscriff,20820,1,1,1
Guiscriff,20810,1,1,1
Poullaouen,20801,1,1,0
Plouigneau,20810,1,1,0
Plouigneau,20801,1,1,0
Clohars-Carnoët,20810,1,1,0
Clohars-Carnoët,20820,1,1,0
Clohars-Carnoët,20801,1,1,0
Gourin,20801,1,1,0
Poullaouen,20820,1,1,1
Poullaouen,20810,0,0,1
Poullaouen,20815,0,1,1
Saint-Hernin,20820,1,1,0
Saint-Hernin,20815,0,1,0
Saint-Hernin,20801,1,1,0
Saint-Hernin,20810,1,1,0
Quimperlé,20801,1,1,0
Locquirec,20810,1,1,1
Locquirec,20820,1,1,1
Quimperlé,20820,1,1,1
Quimperlé,20810,1,1,1
Quimperlé,20801,1,1,1
Clohars-Carnoët,20801,1,1,1
Clohars-Carnoët,20820,1,1,1
Clohars-Carnoët,20810,1,1,1
Gourin,20810,1,1,1
Gourin,20820,1,1,1
Quimperlé,20815,0,1,1
Quimperlé,20810,1,1,0
Carhaix-Plouguer,20815,0,1,1
Carhaix-Plouguer,20820,1,1,0
Guidel,20810,1,1,0
Guidel,20801,1,1,0
Plestin-les-Grèves,20820,1,1,1
Plestin-les-Grèves,20810,0,0,1
Carhaix-Plouguer,20801,0,1,1
Plestin-les-Grèves,20801,1,1,0
Plestin-les-Grèves,20815,0,1,1
Querrien,20815,0,1,1
Querrien,20820,1,1,1
Querrien,20810,1,1,1
Querrien,20801,1,1,0
Carhaix-Plouguer,20801,1,1,1
Plouégat-Moysan,20820,1,1,1
Plouégat-Moysan,20810,1,1,1
Carhaix-Plouguer,20801,1,1,0
Carhaix-Plouguer,20810,1,1,0
Guerlesquin,20820,1,1,0
Le Saint,20801,1,1,0
Guerlesquin,20815,0,1,1
Plouégat-Moysan,20801,1,1,0
Tréméven,20815,0,1,1
Tréméven,20801,1,1,0
Ploemeur,20801,1,1,0
Carhaix-Plouguer,20801,0,0,0
Rédené,20820,1,1,1
Rédené,20810,1,1,1
Carhaix-Plouguer,20820,1,1,1
Guidel,20801,1,1,1
Guidel,20820,1,1,1
Guidel,20810,1,1,1
Guerlesquin,20810,1,1,1
Guerlesquin,20820,1,1,1
Carhaix-Plouguer,20801,0,1,0
Groix,20810,1,1,0
Groix,20820,1,1,1
Groix,20801,1,1,1
Ploemeur,20810,1,1,0
Ploemeur,20820,0,1,0
Le Faouët,20801,1,1,1
Le Faouët,20815,0,1,1
Le Faouët,20820,1,1,1
Le Faouët,20810,1,1,1
Trébeurden,20801,1,1,1
Trébeurden,20810,1,1,1
Trébeurden,20820,1,1,1
Trébeurden,20820,1,1,0
Trébeurden,20815,0,1,1
Plourac'h,20810,1,1,0
Plourac'h,20820,1,1,0
Plourac'h,20815,0,1,0
Plourac'h,20801,1,1,0
Plounérin,20801,1,1,0
Trébeurden,20801,1,1,0
Plounérin,20820,1,0,0
Langonnet,20820,1,1,1
Langonnet,20810,1,1,1
Ploemeur,20801,1,1,1
Ploemeur,20820,1,1,0
Trébrivan,20801,1,1,0
Trédrez-Locquémeau,20810,1,1,0
Trédrez-Locquémeau,20820,1,1,1
Gestel,20801,1,1,0
Gestel,20820,1,1,1
Gestel,20810,1,1,0
Arzano,20820,1,1,1
Arzano,20810,1,1,1
Trédrez-Locquémeau,20820,1,1,0
Ploemeur,20810,1,1,1
Ploemeur,20820,1,1,1
Ploemeur,20815,0,1,1
Arzano,20801,1,1,0
Trébeurden,20810,0,0,1
